Sentence,Error Explanation
"Each student has finished their homework.","Correct sentence."
"None of the students was late for class.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He didnt know what to say.","Incorrect use of 'didnt' instead of 'didn't'."
"Each of the books were well-written.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the answers was correct.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She dont have any idea where they went.","Incorrect use of 'dont' instead of 'doesn't' with the singular subject 'She'."
"Each of the players were given a medal.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the students were absent.","Correct sentence."
"He should of known better.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each teacher has their own approach.","Correct sentence."
"None of the food were left after the party.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She don’t understand the problem.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'She'."
"Each of the rooms were spacious.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the chairs was comfortable.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He could of made a difference.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student have their own desk.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the details were clear.","Correct sentence."
"She should of known about the meeting.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the dogs were barking loudly.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the lights were working.","Correct sentence."
"He dont know where the keys are.","Incorrect use of 'dont' instead of 'doesn't' with the singular subject 'He'."
"Each teacher were given a new curriculum.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each teacher'."
"None of the answers were correct.","Correct sentence."
"She could of tried harder.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student has their own book.","Correct sentence."
"None of the students was absent.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He didn’t know how to fix it.","Correct sentence."
"Each of the participants were given a certificate.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the opinions were considered.","Correct sentence."
"She dont like that type of food.","Incorrect use of 'dont' instead of 'doesn't' with the singular subject 'She'."
"Each player have a different role on the team.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each player'."
"None of the team were on time.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
"She should of called you earlier.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student has completed the assignment.","Correct sentence."
"None of the answers was correct.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He don’t know the way to the station.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each teacher were happy with the results.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each teacher'."
"None of the plans was successful.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She could of gone to the party.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the students has completed the course.","Correct sentence."
"None of the roads were blocked.","Correct sentence."
"He should of finished his homework.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player has a different strategy.","Correct sentence."
"None of the documents were found.","Correct sentence."
"She don’t have any idea where the others are.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'She'."
"Each teacher was given a new textbook.","Correct sentence."
"None of the answers were wrong.","Correct sentence."
"He could of finished it earlier.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each student have to bring their own materials.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the employees were satisfied with the results.","Correct sentence."
"She should of known about the changes.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player were given a trophy.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each player'."
"None of the explanations were clear.","Correct sentence."
"He don’t know how to get there.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'He'."
"Each of the students was given a worksheet.","Incorrect verb form 'was' instead of 'were' with the plural subject 'Each of the students'."
"None of the chairs were comfortable.","Correct sentence."
"She could of asked for help.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the rooms has a different color.","Correct sentence."
"None of the students was late.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He didn’t of seen the movie.","Incorrect use of 'of' instead of 'have' in the past perfect tense."
"Each teacher were given a new schedule.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each teacher'."
"None of the information was clear.","Correct sentence."
"She don’t have any idea where to start.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'She'."
"Each student have completed their assignments.","Incorrect verb form 'have' instead of 'has' with the singular subject 'Each student'."
"None of the explanations was helpful.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He could of made a better decision.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each player was excited about the match.","Correct sentence."
"None of the packages were delivered.","Correct sentence."
"She should of gone to the doctor earlier.","Incorrect use of 'of' instead of 'have' in the conditional perfect tense."
"Each of the players were given a medal.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the workers was absent.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"He didn’t of gone to the meeting.","Incorrect use of 'of' instead of 'have' in the past perfect tense."
"Each teacher has their own way of grading.","Correct sentence."
"None of the plans was successful.","Incorrect verb form 'was' instead of 'were' with the plural subject 'None'."
"She don’t understand why it happened.","Incorrect use of 'don’t' instead of 'doesn't' with the singular subject 'She'."
"Each of the students were given a chance to speak.","Incorrect verb form 'were' instead of 'was' with the singular subject 'Each'."
"None of the information were accurate.","Incorrect verb form 'were' instead of 'was' with the singular subject 'None'."
